股號,股名,產業別
4736,泰博,未知
4737,華廣,未知
4739,康普,未知
4746,台耀,未知
4755,三福化,未知
4763,材料-KY,未知
4764,雙鍵,未知
4766,南寶,未知
4770,上品,未知
4771,望隼,未知
4807,日成-KY,未知
4904,遠傳,未知
4906,正文,未知
4912,聯德控股-KY,未知
4915,致伸,未知
4916,事欣科,未知
4919,新唐,未知
4927,泰鼎-KY,未知
4930,燦星網,未知
4934,太極,未知
4935,茂林-KY,未知
4938,和碩,未知
4942,嘉彰,未知
4943,康控-KY,未知
4949,有成精密,未知
4952,凌通,未知
4956,光鋐,未知
4958,臻鼎-KY,未知
4960,誠美材,未知
4961,天鈺,未知
4967,十銓,未知
4968,立積,未知
4976,佳凌,未知
4977,眾達-KY,未知
4989,榮科,未知
4994,傳奇,未知
4999,鑫禾,未知
5007,三星,未知
5203,訊連,未知
5215,科嘉-KY,未知
5222,全訊,未知
5225,東科-KY,未知
5234,達興材料,未知
5243,乙盛-KY,未知
5244,弘凱,未知
5258,虹堡,未知
5269,祥碩,未知
5283,禾聯碩,未知
5284,jpp-KY,未知
5285,界霖,未知
5288,豐祥-KY,未知
5292,華懋,未知
5306,桂盟,未知
5388,中磊,未知
5434,崇越,未知
5469,瀚宇博,未知
5471,松翰,未知
5484,慧友,未知
5515,建國,未知
5519,隆大,未知
5521,工信,未知
5522,遠雄,未知
5525,順天,未知
5531,鄉林,未知
5533,皇鼎,未知
5534,長虹,未知
5538,東明-KY,未知
5546,永固-KY,未知
5607,遠雄港,未知
5608,四維航,未知
5706,鳳凰,未知
5871,中租-KY,未知
5871A,中租-KY甲特,未知
5876,上海商銀,未知
5880,合庫金,未知
5906,台南-KY,未知
5907,大洋-KY,未知
6005,群益證,未知
6024,群益期,未知
6108,競國,未知
6112,邁達特,未知
6115,鎰勝,未知
6116,彩晶,未知
6117,迎廣,未知
6120,達運,未知
6128,上福,未知
6133,金橋,未知
6136,富爾特,未知
6139,亞翔,未知
6141,柏承,未知
6142,友勁,未知
6152,百一,未知
6153,嘉聯益,未知
6155,鈞寶,未知
6164,華興,未知
6165,浪凡,未知
6166,凌華,未知
6168,宏齊,未知
6176,瑞儀,未知
6177,達麗,未知
6183,關貿,未知
6184,大豐電,未知
6189,豐藝,未知
6191,精成科,未知
6192,巨路,未知
6196,帆宣,未知
6197,佳必琪,未知
6201,亞弘電,未知
6202,盛群,未知
6205,詮欣,未知
6206,飛捷,未知
6209,今國光,未知
6213,聯茂,未知
6214,精誠,未知
6215,和椿,未知
6216,居易,未知
6224,聚鼎,未知
6225,天瀚,未知
6226,光鼎,未知
6230,尼得科超眾,未知
6235,華孚,未知
6239,力成,未知
6243,迅杰,未知
6257,矽格,未知
6269,台郡,未知
6271,同欣電,未知
6277,宏正,未知
6278,台表科,未知
6281,全國電,未知
6282,康舒,未知
6283,淳安,未知
6285,啟碁,未知
6288,聯嘉,未知
6405,悅城,未知
6409,旭隼,未知
6412,群電,未知
6414,樺漢,未知
6415,矽力*-KY,未知
6416,瑞祺電通,未知
6423,億而得-創,未知
6426,統新,未知
6431,光麗-KY,未知
6438,迅得,未知
6442,光聖,未知
6443,元晶,未知
6446,藥華藥,未知
6449,鈺邦,未知
6451,訊芯-KY,未知
6456,GIS-KY,未知
6464,台數科,未知
6472,保瑞,未知
6477,安集,未知
6491,晶碩,未知
6504,南六,未知
6505,台塑化,未知
6515,穎崴,未知
6525,捷敏-KY,未知
6526,達發,未知
6531,愛普*,未知
6533,晶心科,未知
6534,正瀚-創,未知
6541,泰福-KY,未知
6550,北極星藥業-KY,未知
6552,易華電,未知
6558,興能高,未知
6573,虹揚-KY,未知
6579,研揚,未知
6581,鋼聯,未知
6582,申豐,未知
6585,鼎基,未知
6591,動力-KY,未知
6592,和潤企業,未知
6592A,和潤企業甲特,未知
6592B,和潤企業乙特,未知
6598,ABC-KY,未知
6605,帝寶,未知
6606,建德工業,未知
6625,必應,未知
6641,基士德-KY,未知
6645,金萬林-創,未知
6655,科定,未知
6657,華安,未知
6658,聯策,未知
6666,羅麗芬-KY,未知
6668,中揚光,未知
6669,緯穎,未知
6670,復盛應用,未知
6671,三能-KY,未知
6672,騰輝電子-KY,未知
6674,鋐寶科技,未知
6689,伊雲谷,未知
6691,洋基工程,未知
6695,芯鼎,未知
6698,旭暉應材,未知
6706,惠特,未知
6715,嘉基,未知
6719,力智,未知
6742,澤米,未知
6743,安普新,未知
6753,龍德造船,未知
6754,匯僑設計,未知
6756,威鋒電子,未知
6757,台灣虎航,未知
6768,志強-KY,未知
6770,力積電,未知
6771,平和環保-創,未知
6776,展碁國際,未知
6781,AES-KY,未知
6782,視陽,未知
6789,采鈺,未知
6790,永豐實,未知
6792,詠業,未知
6794,向榮生技-創,未知
6796,晉弘,未知
6799,來頡,未知
6805,富世達,未知
6806,森崴能源,未知
6807,峰源-KY,未知
6830,汎銓,未知
6834,天二科技,未知
6835,圓裕,未知
6838,台新藥,未知
6854,錼創科技-KY創,未知
6861,睿生光電,未知
6862,三集瑞-KY,未知
6863,永道-KY,未知
6869,雲豹能源,未知
6873,泓德能源,未知
6885,全福生技,未知
6890,來億-KY,未知
6901,鑽石投資,未知
6902,GOGOLOOK-創,未知
6906,現觀科,未知
6914,阜爾運通,未知
6916,華凌,未知
6919,康霈*,未知
6923,中台,未知
6924,榮惠-KY創,未知
6928,攸泰科技,未知
6931,青松健康,未知
6933,AMAX-KY,未知
6937,天虹,未知
6949,沛爾生醫-創,未知
6951,青新-創,未知
6952,大武山,未知
6955,邦睿生技-創,未知
6957,裕慶-KY,未知
6958,日盛台駿,未知
6962,ITH-KY,未知
6969,成信實業*-創,未知
6988,威力暘-創,未知
6994,富威電力,未知
7705,三商餐飲,未知
7722,LINEPAY,未知
7732,金興精密,未知
8011,台通,未知
8016,矽創,未知
8021,尖點,未知
8028,昇陽半導體,未知
8033,雷虎,未知
8039,台虹,未知
8045,達運光電,未知
8046,南電,未知
8070,長華*,未知
8072,陞泰,未知
8081,致新,未知
8101,華冠,未知
8103,瀚荃,未知
8104,錸寶,未知
8105,凌巨,未知
8110,華東,未知
8112,至上,未知
8112A,至上甲特,未知
8114,振樺電,未知
8131,福懋科,未知
8150,南茂,未知
8162,微矽電子-創,未知
8163,達方,未知
8201,無敵,未知
